Time,theta1_acc,theta2_acc,d3_acc,theta4_acc
3.22,-0.0137951,0.0264444,0,-0.043751
3.24,-0.0132746,0.0258857,0,-0.0421
3.26,-0.012754,0.025327,0,-0.040449
3.28,-0.0122334,0.0247683,0,-0.038798
3.3,-0.0117128,0.0242096,0,-0.037147
3.32,-0.0111923,0.023651,0,-0.0354961
3.34,-0.0106717,0.0230923,0,-0.0338451
3.36,-0.0101511,0.0225336,0,-0.0321941
3.38,-0.00963056,0.0219749,0,-0.0305431
3.4,-0.00910999,0.0214162,0,-0.0288921
3.42,-0.00858942,0.0208575,0,-0.0272412
3.44,-0.00806885,0.0202989,0,-0.0255902
3.46,-0.00754828,0.0197402,0,-0.0239392
3.48,-0.00702771,0.0191815,0,-0.0222882
3.5,-0.00650713,0.0186228,0,-0.0206372
3.52,-0.00598656,0.0180641,0,-0.0189863
3.54,-0.00546599,0.0175054,0,-0.0173353
3.56,-0.00494542,0.0169467,0,-0.0156843
3.58,-0.00442485,0.0163881,0,-0.0140333
3.6,-0.00390428,0.0158294,0,-0.0123823
3.62,-0.00338371,0.0152707,0,-0.0107314
3.64,-0.00286314,0.014712,0,-0.00908039
3.66,-0.00234257,0.0141533,0,-0.00742941
3.68,-0.001822,0.0135946,0,-0.00577843
3.7,-0.00130143,0.013036,0,-0.00412745
3.72,-0.000780856,0.0124773,0,-0.00247647
3.74,-0.000260285,0.0119186,0,-0.00082549
3.76,0.000260285,0.0113599,0,0.00082549
3.78,0.000780856,0.0108012,0,0.00247647
3.8,0.00130143,0.0102425,0,0.00412745
3.82,0.001822,0.00968386,0,0.00577843
3.84,0.00234257,0.00912517,0,0.00742941
3.86,0.00286314,0.00856649,0,0.00908039
3.88,0.00338371,0.0080078,0,0.0107314
3.9,0.00390428,0.00744912,0,0.0123823
3.92,0.00442485,0.00689044,0,0.0140333
3.94,0.00494542,0.00633175,0,0.0156843
3.96,0.00546599,0.00577307,0,0.0173353
3.98,0.00598656,0.00521438,0,0.0189863
4,0.00650713,0.0046557,0,0.0206372
4.02,0.00702771,0.00409702,0,0.0222882
4.04,0.00754828,0.00353833,0,0.0239392
4.06,0.00806885,0.00297965,0,0.0255902
4.08,0.00858942,0.00242096,0,0.0272412
4.1,0.00910999,0.00186228,0,0.0288921
4.12,0.00963056,0.0013036,0,0.0305431
4.14,0.0101511,0.000744912,0,0.0321941
4.16,0.0106717,0.000186228,0,0.0338451
4.18,0.0111923,-0.000372456,0,0.0354961
4.2,0.0117128,-0.00093114,0,0.037147
4.22,0.0122334,-0.00148982,0,0.038798
4.24,0.012754,-0.00204851,0,0.040449
4.26,0.0132746,-0.00260719,0,0.0421
4.28,0.0137951,-0.00316588,0,0.043751
4.3,0.0143157,-0.00372456,0,0.0454019
4.32,0.0148363,-0.00428324,0,0.0470529
4.34,0.0153568,-0.00484193,0,0.0487039
4.36,0.0158774,-0.00540061,0,0.0503549
4.38,0.016398,-0.0059593,0,0.0520059
4.4,0.0169185,-0.00651798,0,0.0536568
4.42,0.0174391,-0.00707666,0,0.0553078
4.44,0.0179597,-0.00763535,0,0.0569588
4.46,0.0184803,-0.00819403,0,0.0586098
4.48,0.0190008,-0.00875272,0,0.0602608
4.5,0.0195214,-0.0093114,0,0.0619117
4.52,0.020042,-0.00987008,0,0.0635627
4.54,0.0205625,-0.0104288,0,0.0652137
4.56,0.0210831,-0.0109875,0,0.0668647
4.58,0.0216037,-0.0115461,0,0.0685157
4.6,0.0221243,-0.0121048,0,0.0701666
4.62,0.0226448,-0.0126635,0,0.0718176
4.64,0.0231654,-0.0132222,0,0.0734686
4.66,0.023686,-0.0137809,0,0.0751196
4.68,0.0242065,-0.0143396,0,0.0767705
4.7,0.0247271,-0.0148982,0,0.0784215
4.72,0.0252477,-0.0154569,0,0.0800725
4.74,0.0257683,-0.0160156,0,0.0817235
4.76,0.0262888,-0.0165743,0,0.0833745
4.78,0.0268094,-0.017133,0,0.0850254
4.8,0.02733,-0.0176917,0,0.0866764
4.82,0.0278505,-0.0182503,0,0.0883274
4.84,0.0283711,-0.018809,0,0.0899784
4.86,0.0288917,-0.0193677,0,0.0916294
4.88,0.0294122,-0.0199264,0,0.0932803
4.9,0.0299328,-0.0204851,0,0.0949313
4.92,0.0304534,-0.0210438,0,0.0965823
4.94,0.030974,-0.0216024,0,0.0982333
4.96,0.0314945,-0.0221611,0,0.0998843
4.98,0.0320151,-0.0227198,0,0.101535
5,0.0325357,-0.0232785,0,0.103186
5.02,0.0330562,-0.0238372,0,0.104837
5.04,0.0335768,-0.0243959,0,0.106488
5.06,0.0340974,-0.0249546,0,0.108139
5.08,0.034618,-0.0255132,0,0.10979
5.1,0.0351385,-0.0260719,0,0.111441
5.12,0.0356591,-0.0266306,0,0.113092
5.14,0.0361797,-0.0271893,0,0.114743
5.16,0.0367002,-0.027748,0,0.116394
5.18,0.0372208,-0.0283067,0,0.118045
5.2,0.0377414,-0.0288653,0,0.119696
5.22,0.038262,-0.029424,0,0.121347
5.24,0.0387825,-0.0299827,0,0.122998
5.26,0.0393031,-0.0305414,0,0.124649
5.28,0.0398237,-0.0311001,0,0.1263
5.3,0.0403442,-0.0316588,0,0.127951
5.32,0.0408648,-0.0322174,0,0.129602
5.34,0.0413854,-0.0327761,0,0.131253
5.36,0.0419059,-0.0333348,0,0.132904
5.38,0.0424265,-0.0338935,0,0.134555
5.4,0.0429471,-0.0344522,0,0.136206
5.42,0.0434677,-0.0350109,0,0.137857
5.44,0.0439882,-0.0355695,0,0.139508
5.46,0.0445088,-0.0361282,0,0.141159
5.48,0.0450294,-0.0366869,0,0.14281
5.5,0.0455499,-0.0372456,0,0.144461
5.52,0.0460705,-0.0378043,0,0.146112
5.54,0.0465911,-0.038363,0,0.147763
5.56,0.0471117,-0.0389217,0,0.149414
5.58,0.0476322,-0.0394803,0,0.151065
5.6,0.0481528,-0.040039,0,0.152716
5.62,0.0486734,-0.0405977,0,0.154367
5.64,0.0491939,-0.0411564,0,0.156018
5.66,0.0497145,-0.0417151,0,0.157669
5.68,0.0502351,-0.0422738,0,0.15932
5.7,0.0507556,-0.0428324,0,0.160971
5.72,0.0512762,-0.0433911,0,0.162621
