Time,theta1_vel,theta2_vel,d3_vel,theta4_vel
6.6,-0.0773048,0.159784,0,-0.24517
6.62,-0.0758159,0.158419,0,-0.240449
6.64,-0.0743167,0.157042,0,-0.235694
6.66,-0.072807,0.155655,0,-0.230906
6.68,-0.071287,0.154256,0,-0.226085
6.7,-0.0697565,0.152847,0,-0.221231
6.72,-0.0682156,0.151426,0,-0.216344
6.74,-0.0666643,0.149994,0,-0.211424
6.76,-0.0651026,0.14855,0,-0.206472
6.78,-0.0635305,0.147096,0,-0.201486
6.8,-0.0619479,0.14563,0,-0.196467
6.82,-0.060355,0.144154,0,-0.191415
6.84,-0.0587516,0.142666,0,-0.18633
6.86,-0.0571378,0.141166,0,-0.181212
6.88,-0.0555137,0.139656,0,-0.17606
6.9,-0.0538791,0.138135,0,-0.170876
6.92,-0.0522341,0.136602,0,-0.165659
6.94,-0.0505787,0.135058,0,-0.160409
6.96,-0.0489128,0.133503,0,-0.155126
6.98,-0.0472366,0.131937,0,-0.14981
7,-0.0455499,0.13036,0,-0.144461
7.02,-0.0438529,0.128771,0,-0.139079
7.04,-0.0421454,0.127171,0,-0.133663
7.06,-0.0404275,0.125561,0,-0.128215
7.08,-0.0386992,0.123938,0,-0.122734
7.1,-0.0369605,0.122305,0,-0.11722
7.12,-0.0352114,0.120661,0,-0.111672
7.14,-0.0334519,0.119005,0,-0.106092
7.16,-0.0316819,0.117339,0,-0.100479
7.18,-0.0299016,0.115661,0,-0.0948323
7.2,-0.0281108,0.113972,0,-0.0891529
7.22,-0.0263096,0.112271,0,-0.0834405
7.24,-0.0244981,0.11056,0,-0.0776951
7.26,-0.0226761,0.108837,0,-0.0719167
7.28,-0.0208437,0.107103,0,-0.0661052
7.3,-0.0190008,0.105358,0,-0.0602608
7.32,-0.0171476,0.103602,0,-0.0543833
7.34,-0.015284,0.101835,0,-0.0484728
7.36,-0.0134099,0.100057,0,-0.0425292
7.38,-0.0115254,0.0982669,0,-0.0365527
7.4,-0.00963056,0.0964661,0,-0.0305431
7.42,-0.00772527,0.0946541,0,-0.0245005
7.44,-0.00580957,0.0928309,0,-0.0184249
7.46,-0.00388346,0.0909966,0,-0.0123163
7.48,-0.00194693,0.0891511,0,-0.00617466
7.5,-1.11022e-16,0.0872944,0,0
7.5,0,0.0872944,0,0
7.52,0.00161916,0.0863651,0,0.000506622
7.54,0.00322967,0.0854395,0,0.00101352
7.56,0.00483152,0.0845177,0,0.0015207
7.58,0.00642471,0.0835996,0,0.00202815
7.6,0.00800924,0.0826852,0,0.00253588
7.62,0.00958511,0.0817746,0,0.00304389
7.64,0.0111523,0.0808676,0,0.00355218
7.66,0.0127109,0.0799644,0,0.00406074
7.68,0.0142608,0.079065,0,0.00456959
7.7,0.015802,0.0781692,0,0.0050787
7.72,0.0173346,0.0772772,0,0.0055881
7.74,0.0188585,0.0763889,0,0.00609777
7.76,0.0203738,0.0755043,0,0.00660773
7.78,0.0218804,0.0746234,0,0.00711795
7.8,0.0233783,0.0737463,0,0.00762846
7.82,0.0248676,0.0728729,0,0.00813924
7.84,0.0263482,0.0720032,0,0.00865031
7.86,0.0278202,0.0711372,0,0.00916164
7.88,0.0292835,0.070275,0,0.00967326
7.9,0.0307382,0.0694165,0,0.0101852
7.92,0.0321841,0.0685617,0,0.0106973
7.94,0.0336215,0.0677106,0,0.0112098
7.96,0.0350502,0.0668633,0,0.0117225
7.98,0.0364702,0.0660197,0,0.0122355
8,0.0378815,0.0651798,0,0.0127488
8.02,0.0392842,0.0643436,0,0.0132623
8.04,0.0406783,0.0635112,0,0.0137762
8.06,0.0420636,0.0626825,0,0.0142903
8.08,0.0434404,0.0618575,0,0.0148047
8.1,0.0448084,0.0610362,0,0.0153193
8.12,0.0461678,0.0602187,0,0.0158343
8.14,0.0475186,0.0594049,0,0.0163495
8.16,0.0488607,0.0585948,0,0.016865
8.18,0.0501941,0.0577884,0,0.0173808
8.2,0.0515189,0.0569858,0,0.0178969
8.22,0.052835,0.0561869,0,0.0184132
8.24,0.0541424,0.0553917,0,0.0189298
8.26,0.0554412,0.0546002,0,0.0194467
8.28,0.0567314,0.0538124,0,0.0199638
8.3,0.0580128,0.0530284,0,0.0204813
8.32,0.0592857,0.0522481,0,0.020999
8.34,0.0605498,0.0514716,0,0.021517
8.36,0.0618053,0.0506987,0,0.0220353
8.38,0.0630522,0.0499296,0,0.0225538
8.4,0.0642904,0.0491642,0,0.0230727
8.42,0.0655199,0.0484025,0,0.0235918
8.44,0.0667408,0.0476446,0,0.0241112
8.46,0.067953,0.0468903,0,0.0246308
8.48,0.0691565,0.0461398,0,0.0251508
8.5,0.0703514,0.0453931,0,0.025671
8.52,0.0715376,0.04465,0,0.0261915
8.54,0.0727152,0.0439107,0,0.0267122
8.56,0.0738841,0.0431751,0,0.0272333
8.58,0.0750444,0.0424432,0,0.0277546
8.6,0.076196,0.0417151,0,0.0282762
8.62,0.0773389,0.0409906,0,0.0287981
8.64,0.0784732,0.0402699,0,0.0293203
8.66,0.0795988,0.039553,0,0.0298427
8.68,0.0807158,0.0388397,0,0.0303654
8.7,0.0818241,0.0381302,0,0.0308884
8.72,0.0829237,0.0374244,0,0.0314117
8.74,0.0840147,0.0367223,0,0.0319352
8.76,0.0850971,0.0360239,0,0.032459
8.78,0.0861707,0.0353293,0,0.0329831
8.8,0.0872357,0.0346384,0,0.0335075
8.82,0.0882921,0.0339512,0,0.0340322
8.84,0.0893398,0.0332678,0,0.0345571
8.86,0.0903788,0.032588,0,0.0350823
8.88,0.0914092,0.031912,0,0.0356078
8.9,0.0924309,0.0312397,0,0.0361336
8.92,0.093444,0.0305712,0,0.0366596
8.94,0.0944484,0.0299064,0,0.0371859
8.96,0.0954441,0.0292452,0,0.0377125
8.98,0.0964312,0.0285879,0,0.0382394
9,0.0974096,0.0279342,0,0.0387666
9.02,0.0983794,0.0272843,0,0.039294
9.04,0.0993405,0.0266381,0,0.0398217
9.06,0.100293,0.0259956,0,0.0403497
9.08,0.101237,0.0253568,0,0.040878
9.1,0.102172,0.0247218,0,0.0414065
9.12,0.103098,0.0240905,0,0.0419353
9.14,0.104016,0.0234629,0,0.0424644
9.16,0.104925,0.022839,0,0.0429938
9.18,0.105826,0.0222189,0,0.0435234
9.2,0.106718,0.0216024,0,0.0440534
9.22,0.107601,0.0209898,0,0.0445836
9.24,0.108475,0.0203808,0,0.0451141
9.26,0.109341,0.0197756,0,0.0456448
9.28,0.110198,0.019174,0,0.0461759
9.3,0.111047,0.0185762,0,0.0467072
9.32,0.111887,0.0179822,0,0.0472388
9.34,0.112718,0.0173918,0,0.0477706
9.36,0.113541,0.0168052,0,0.0483028
9.38,0.114355,0.0162223,0,0.0488352
9.4,0.11516,0.0156432,0,0.0493679
9.42,0.115956,0.0150677,0,0.0499009
9.44,0.116744,0.014496,0,0.0504341
9.46,0.117524,0.013928,0,0.0509677
9.48,0.118294,0.0133637,0,0.0515015
9.5,0.119056,0.0128032,0,0.0520356
9.52,0.11981,0.0122464,0,0.0525699
9.54,0.120554,0.0116933,0,0.0531046
9.56,0.12129,0.0111439,0,0.0536395
9.58,0.122017,0.0105982,0,0.0541747
9.6,0.122736,0.0100563,0,0.0547102
9.62,0.123446,0.00951811,0,0.0552459
9.64,0.124147,0.00898364,0,0.055782
9.66,0.12484,0.00845289,0,0.0563183
9.68,0.125524,0.00792586,0,0.0568549
9.7,0.1262,0.00740256,0,0.0573917
9.72,0.126866,0.00688299,0,0.0579289
9.74,0.127524,0.00636714,0,0.0584663
9.76,0.128174,0.00585501,0,0.059004
9.78,0.128814,0.00534661,0,0.059542
9.8,0.129447,0.00484193,0,0.0600802
9.82,0.13007,0.00434097,0,0.0606187
9.84,0.130685,0.00384375,0,0.0611576
9.86,0.131291,0.00335024,0,0.0616966
9.88,0.131888,0.00286046,0,0.062236
9.9,0.132477,0.00237441,0,0.0627756
9.92,0.133057,0.00189208,0,0.0633155
9.94,0.133629,0.00141347,0,0.0638557
9.96,0.134192,0.000938589,0,0.0643962
9.98,0.134746,0.000467432,0,0.064937
10,0.135291,0,0,0.065478
10.02,0.135828,-0.000463708,0,0.0660193
10.04,0.136356,-0.000923691,0,0.0665609
10.06,0.136876,-0.00137995,0,0.0671027
10.08,0.137387,-0.00183248,0,0.0676449
10.1,0.137889,-0.00228129,0,0.0681873
10.12,0.138382,-0.00272638,0,0.06873
10.14,0.138867,-0.00316774,0,0.0692729
10.16,0.139343,-0.00360537,0,0.0698162
10.18,0.139811,-0.00403929,0,0.0703597
10.2,0.14027,-0.00446947,0,0.0709035
10.22,0.14072,-0.00489593,0,0.0714476
10.24,0.141162,-0.00531867,0,0.0719919
10.26,0.141595,-0.00573768,0,0.0725366
10.28,0.142019,-0.00615297,0,0.0730815
10.3,0.142435,-0.00656454,0,0.0736267
10.32,0.142841,-0.00697238,0,0.0741721
10.34,0.14324,-0.00737649,0,0.0747179
10.36,0.143629,-0.00777688,0,0.0752639
10.38,0.14401,-0.00817355,0,0.0758102
10.4,0.144383,-0.00856649,0,0.0763568
10.42,0.144746,-0.0089557,0,0.0769036
10.44,0.145101,-0.0093412,0,0.0774508
10.46,0.145448,-0.00972296,0,0.0779982
10.48,0.145785,-0.010101,0,0.0785458
10.5,0.146114,-0.0104753,0,0.0790938
10.52,0.146435,-0.0108459,0,0.079642
10.54,0.146747,-0.0112128,0,0.0801906
10.56,0.14705,-0.0115759,0,0.0807394
10.58,0.147344,-0.0119354,0,0.0812884
10.6,0.14763,-0.012291,0,0.0818378
10.62,0.147907,-0.012643,0,0.0823874
10.64,0.148175,-0.0129913,0,0.0829373
10.66,0.148435,-0.0133358,0,0.0834875
10.68,0.148686,-0.0136766,0,0.084038
10.7,0.148929,-0.0140137,0,0.0845887
10.72,0.149162,-0.014347,0,0.0851397
10.74,0.149387,-0.0146766,0,0.085691
10.76,0.149604,-0.0150025,0,0.0862426
10.78,0.149812,-0.0153247,0,0.0867944
10.8,0.150011,-0.0156432,0,0.0873465
10.82,0.150201,-0.0159579,0,0.0878989
10.84,0.150383,-0.0162689,0,0.0884516
10.86,0.150556,-0.0165762,0,0.0890046
10.88,0.150721,-0.0168797,0,0.0895578
10.9,0.150877,-0.0171795,0,0.0901113
10.92,0.151024,-0.0174756,0,0.0906651
10.94,0.151162,-0.017768,0,0.0912192
10.96,0.151292,-0.0180567,0,0.0917735
10.98,0.151414,-0.0183416,0,0.0923281
11,0.151526,-0.0186228,0,0.092883
11.02,0.15163,-0.0189003,0,0.0934382
11.04,0.151725,-0.019174,0,0.0939937
11.06,0.151812,-0.0194441,0,0.0945494
11.08,0.15189,-0.0197104,0,0.0951054
11.1,0.151959,-0.019973,0,0.0956617
11.12,0.15202,-0.0202318,0,0.0962183
11.14,0.152072,-0.0204869,0,0.0967751
11.16,0.152115,-0.0207384,0,0.0973322
11.18,0.15215,-0.020986,0,0.0978896
11.2,0.152175,-0.02123,0,0.0984473
11.22,0.152193,-0.0214702,0,0.0990052
11.24,0.152201,-0.0217067,0,0.0995635
11.26,0.152201,-0.0219395,0,0.100122
11.28,0.152193,-0.0221686,0,0.100681
11.3,0.152175,-0.0223939,0,0.10124
11.32,0.15215,-0.0226155,0,0.101799
11.34,0.152115,-0.0228334,0,0.102359
11.36,0.152072,-0.0230476,0,0.102919
11.38,0.15202,-0.023258,0,0.103479
11.4,0.151959,-0.0234647,0,0.104039
11.42,0.15189,-0.0236677,0,0.1046
11.44,0.151812,-0.023867,0,0.105161
11.46,0.151725,-0.0240625,0,0.105722
11.48,0.15163,-0.0242543,0,0.106284
11.5,0.151526,-0.0244424,0,0.106846
11.52,0.151414,-0.0246268,0,0.107408
11.54,0.151292,-0.0248074,0,0.10797
11.56,0.151162,-0.0249843,0,0.108533
11.58,0.151024,-0.0251575,0,0.109096
11.6,0.150877,-0.025327,0,0.109659
11.62,0.150721,-0.0254928,0,0.110223
11.64,0.150556,-0.0256548,0,0.110786
11.66,0.150383,-0.0258131,0,0.11135
11.68,0.150201,-0.0259676,0,0.111915
11.7,0.150011,-0.0261185,0,0.112479
11.72,0.149812,-0.0262656,0,0.113044
11.74,0.149604,-0.026409,0,0.113609
11.76,0.149387,-0.0265487,0,0.114175
11.78,0.149162,-0.0266846,0,0.11474
11.8,0.148929,-0.0268168,0,0.115306
11.82,0.148686,-0.0269453,0,0.115873
11.84,0.148435,-0.0270701,0,0.116439
