Time,theta1_pos,theta2_pos,d3_pos,theta4_pos
3.3,1.19522,0.466445,-175,-1.19112
3.32,1.19161,0.47109,-175,-1.20257
3.34,1.188,0.475744,-175,-1.21403
3.36,1.18438,0.480407,-175,-1.22551
3.38,1.18076,0.48508,-175,-1.237
3.4,1.17713,0.489761,-175,-1.2485
3.42,1.1735,0.494451,-175,-1.26001
3.44,1.16987,0.499149,-175,-1.27154
3.46,1.16623,0.503855,-175,-1.28307
3.48,1.16259,0.508569,-175,-1.29461
3.5,1.15895,0.513291,-175,-1.30617
3.52,1.1553,0.51802,-175,-1.31773
3.54,1.15166,0.522757,-175,-1.32929
3.56,1.14801,0.5275,-175,-1.34087
3.58,1.14435,0.53225,-175,-1.35245
3.6,1.1407,0.537007,-175,-1.36404
3.62,1.13705,0.54177,-175,-1.37563
3.64,1.13339,0.546539,-175,-1.38723
3.66,1.12973,0.551315,-175,-1.39883
3.68,1.12607,0.556095,-175,-1.41043
3.7,1.12241,0.560881,-175,-1.42204
3.72,1.11875,0.565673,-175,-1.43364
3.74,1.11509,0.570469,-175,-1.44525
3.76,1.11143,0.575271,-175,-1.45686
3.78,1.10777,0.580076,-175,-1.46847
3.8,1.10411,0.584886,-175,-1.48008
3.82,1.10045,0.5897,-175,-1.49168
3.84,1.0968,0.594518,-175,-1.50328
3.86,1.09314,0.59934,-175,-1.51488
3.88,1.08948,0.604165,-175,-1.52648
3.9,1.08583,0.608994,-175,-1.53807
3.92,1.08217,0.613825,-175,-1.54966
3.94,1.07852,0.618659,-175,-1.56124
3.96,1.07487,0.623495,-175,-1.57282
3.98,1.07122,0.628334,-175,-1.58439
4,1.06758,0.633175,-175,-1.59595
4.02,1.06394,0.638018,-175,-1.6075
4.04,1.0603,0.642862,-175,-1.61904
4.06,1.05666,0.647708,-175,-1.63058
4.08,1.05302,0.652555,-175,-1.6421
4.1,1.04939,0.657403,-175,-1.65361
4.12,1.04577,0.662252,-175,-1.66512
4.14,1.04215,0.667102,-175,-1.6766
4.16,1.03853,0.671951,-175,-1.68808
4.18,1.03491,0.676801,-175,-1.69954
4.2,1.0313,0.68165,-175,-1.71099
4.22,1.0277,0.6865,-175,-1.72243
4.24,1.0241,0.691348,-175,-1.73384
4.26,1.0205,0.696196,-175,-1.74525
4.28,1.01691,0.701043,-175,-1.75663
4.3,1.01333,0.705888,-175,-1.768
4.32,1.00975,0.710732,-175,-1.77935
4.34,1.00618,0.715574,-175,-1.79068
4.36,1.00261,0.720414,-175,-1.80199
4.38,0.99905,0.725253,-175,-1.81328
4.4,0.995496,0.730088,-175,-1.82455
4.42,0.991949,0.734921,-175,-1.8358
4.44,0.988409,0.739752,-175,-1.84703
4.46,0.984877,0.744579,-175,-1.85823
4.48,0.981351,0.749403,-175,-1.86941
4.5,0.977834,0.754223,-175,-1.88057
4.52,0.974324,0.75904,-175,-1.8917
4.54,0.970822,0.763853,-175,-1.90281
4.56,0.967328,0.768662,-175,-1.91389
4.58,0.963843,0.773466,-175,-1.92494
4.6,0.960366,0.778265,-175,-1.93597
4.62,0.956899,0.78306,-175,-1.94696
4.64,0.95344,0.78785,-175,-1.95793
4.66,0.94999,0.792634,-175,-1.96887
4.68,0.946551,0.797413,-175,-1.97978
4.7,0.94312,0.802186,-175,-1.99066
4.72,0.9397,0.806954,-175,-2.00151
4.74,0.93629,0.811715,-175,-2.01233
4.76,0.93289,0.816469,-175,-2.02311
4.78,0.9295,0.821217,-175,-2.03386
4.8,0.926121,0.825958,-175,-2.04457
4.82,0.922754,0.830692,-175,-2.05525
4.84,0.919397,0.835419,-175,-2.0659
4.86,0.916052,0.840139,-175,-2.07651
4.88,0.912718,0.84485,-175,-2.08708
4.9,0.909396,0.849554,-175,-2.09762
4.92,0.906086,0.854249,-175,-2.10812
4.94,0.902788,0.858936,-175,-2.11857
4.96,0.899503,0.863614,-175,-2.12899
4.98,0.89623,0.868283,-175,-2.13937
5,0.89297,0.872944,-175,-2.14971
5.02,0.889723,0.877595,-175,-2.16001
5.04,0.886489,0.882236,-175,-2.17027
5.06,0.883269,0.886868,-175,-2.18048
5.08,0.880062,0.89149,-175,-2.19065
5.1,0.876869,0.896101,-175,-2.20078
5.12,0.87369,0.900702,-175,-2.21086
5.14,0.870526,0.905293,-175,-2.22089
5.16,0.867375,0.909872,-175,-2.23088
5.18,0.86424,0.914441,-175,-2.24083
