X,Y,Z,Phi
60.849,252.764,100,-1.25641
60.2425,252.87,100,-1.25475
59.6329,252.976,100,-1.2531
59.0204,253.083,100,-1.25146
58.4049,253.19,100,-1.24982
57.7865,253.298,100,-1.24819
57.1652,253.405,100,-1.24656
56.5411,253.514,100,-1.24494
55.9141,253.622,100,-1.24333
55.2843,253.731,100,-1.24172
54.6517,253.84,100,-1.24012
54.0163,253.949,100,-1.23853
53.3782,254.058,100,-1.23694
52.7374,254.167,100,-1.23536
52.094,254.276,100,-1.23379
51.4478,254.386,100,-1.23223
50.7991,254.495,100,-1.23067
50.1478,254.604,100,-1.22912
49.4938,254.714,100,-1.22757
48.8374,254.823,100,-1.22604
48.1784,254.932,100,-1.22451
47.517,255.04,100,-1.22299
46.8531,255.149,100,-1.22148
46.1868,255.257,100,-1.21997
45.5181,255.366,100,-1.21848
44.847,255.473,100,-1.21699
44.1736,255.581,100,-1.21551
43.4979,255.688,100,-1.21404
42.8199,255.795,100,-1.21257
42.1396,255.901,100,-1.21112
41.4571,256.007,100,-1.20967
40.7725,256.112,100,-1.20824
40.0857,256.217,100,-1.20681
39.3967,256.322,100,-1.20539
38.7057,256.425,100,-1.20398
38.0126,256.528,100,-1.20258
37.3175,256.631,100,-1.20119
36.6203,256.733,100,-1.1998
35.9212,256.834,100,-1.19843
35.2202,256.935,100,-1.19707
34.5172,257.034,100,-1.19571
33.8124,257.133,100,-1.19437
33.1057,257.232,100,-1.19304
32.3973,257.329,100,-1.19171
31.687,257.425,100,-1.1904
30.975,257.521,100,-1.1891
30.2613,257.616,100,-1.1878
29.5459,257.71,100,-1.18652
28.8288,257.803,100,-1.18525
28.1101,257.895,100,-1.18399
27.3899,257.986,100,-1.18274
26.6681,258.075,100,-1.1815
25.9448,258.164,100,-1.18027
25.22,258.252,100,-1.17905
24.4938,258.339,100,-1.17785
23.7662,258.425,100,-1.17665
23.0372,258.509,100,-1.17547
22.3068,258.592,100,-1.1743
21.5752,258.675,100,-1.17314
20.8423,258.756,100,-1.17199
20.1081,258.835,100,-1.17085
19.3728,258.914,100,-1.16973
18.6363,258.991,100,-1.16861
17.8986,259.067,100,-1.16751
17.1599,259.142,100,-1.16643
16.4201,259.216,100,-1.16535
15.6793,259.288,100,-1.16428
14.9375,259.358,100,-1.16323
